Latitud,Longitud,Alt.Elip.,Nombre,Nombre
-37.4584999611111,-61.9312919944444,264.038,SUAR,SUAR
-29.1413861861111,-62.6553601027778,115.058,SUR1,SUR1
-26.993713675,-54.4875205194444,553.248,SVIC,SVIC
-25.8041436972222,-62.8308686555556,251.819,TATU,TATU
-26.8529796305556,-65.7100083472222,2036.759,TAVA,TAVA
-27.7891451666667,-64.256780725,221.964,TERO,TERO
-28.0672166325,-67.5660373222222,1241.5666,TGTA,TGTA
-23.5771414416667,-65.3950730388889,2517.777,TILC,TILC
-29.23195875,-61.7702122722222,100.781,TOSF,TOSF
-26.2302169944444,-65.2821753444444,816.091,TRNC,TRNC
-26.8326542138889,-65.1956690777778,469.991,TUC1,TUC1
-26.8432551008333,-65.2303515830556,485.048017,TUCU,TUCU
-31.4349599861111,-64.1935055972222,462.779,UCOR,UCOR
-51.6479925825,-69.2086540952778,34.9395,UNPA,UNPA
-32.9593529291667,-60.6284252094445,66.87234,UNRO,UNRO
-24.7274563311111,-65.4076433,1257.804753,UNSA,UNSA
-31.5412578166667,-68.5770606861111,708.914,UNSJ,UNSJ
-34.4629870833333,-57.8353815388889,49.332,UYCO,UYCO
-32.2912495783333,-58.0671885044445,71.8284,UYPA,UYPA
-31.3751718166667,-57.9597800527778,79.037,UYSA,UYSA
-33.2612616077778,-58.0136178027778,80.7502,UYSO,UYSO
-30.9462703444444,-57.5245013222222,75.664,UYTD,UYTD
-38.7007681922222,-62.2692271175,59.478868,VBCA,VBCA
-33.2280627916667,-60.3299338166667,62.297,VCON,VCON
-32.4200059194444,-63.2414649583333,227.04,VIMA,VIMA
-28.0357440333333,-56.0123885361111,162.474,VIRA,VIRA
-22.0171034472222,-63.6799847638889,659.692,YCBA,YCBA
-24.2807309083333,-61.23650605,185.52,YEMA,YEMA
-38.9064025666667,-70.0668895638889,1046.767,ZPLA,ZPLA
